Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c733159fffff,H3,2028,6,0.8
880c733159fffff,H3,2028,7,0.7
880c733159fffff,H3,2028,8,0.6
880c733159fffff,H3,2028,9,0.6
880c733159fffff,H3,2028,10,0.6
880c733159fffff,H3,2028,11,0.7
880c733159fffff,H3,2028,12,0.8
880c733159fffff,H3,2028,13,0.9
880c733159fffff,H3,2028,14,1.0
880c733159fffff,H3,2028,15,1.2
880c733159fffff,H3,2028,16,1.5
880c733159fffff,H3,2028,17,1.9
880c733159fffff,H3,2028,18,2.3
880c733159fffff,H3,2028,19,2.4
880c733159fffff,H3,2028,20,2.4
880c733159fffff,H3,2028,21,2.4
880c733159fffff,H3,2028,22,2.2
880c733159fffff,H3,2028,23,1.9
880c733855fffff,H3,2028,0,68.1
880c733855fffff,H3,2028,1,59.3
880c733855fffff,H3,2028,2,51.4
880c733855fffff,H3,2028,3,45.9
880c733855fffff,H3,2028,4,41.1
880c733855fffff,H3,2028,5,37.3
880c733855fffff,H3,2028,6,33.2
880c733855fffff,H3,2028,7,26.8
880c733855fffff,H3,2028,8,22.7
880c733855fffff,H3,2028,9,21.8
880c733855fffff,H3,2028,10,23.6
880c733855fffff,H3,2028,11,27.0
880c733855fffff,H3,2028,12,31.5
880c733855fffff,H3,2028,13,35.2
880c733855fffff,H3,2028,14,39.2
880c733855fffff,H3,2028,15,46.1
880c733855fffff,H3,2028,16,57.4
880c733855fffff,H3,2028,17,74.9
880c733855fffff,H3,2028,18,88.9
880c733855fffff,H3,2028,19,98.3
880c733855fffff,H3,2028,20,102.4
880c733855fffff,H3,2028,21,99.7
880c733855fffff,H3,2028,22,91.4
880c733855fffff,H3,2028,23,80.6
880c7338b9fffff,H3,2028,0,1.7
880c7338b9fffff,H3,2028,1,1.5
880c7338b9fffff,H3,2028,2,1.2
880c7338b9fffff,H3,2028,3,1.1
880c7338b9fffff,H3,2028,4,1.0
880c7338b9fffff,H3,2028,5,0.9
880c7338b9fffff,H3,2028,6,0.9
880c7338b9fffff,H3,2028,7,0.7
880c7338b9fffff,H3,2028,8,0.6
880c7338b9fffff,H3,2028,9,0.6
880c7338b9fffff,H3,2028,10,0.6
880c7338b9fffff,H3,2028,11,0.7
