Year,Hour of Day,Avg. Demand,County
2024,12,1.6,minnehaha
2024,13,1.8,minnehaha
2024,14,2.0,minnehaha
2024,15,2.4,minnehaha
2024,16,3.0,minnehaha
2024,17,3.9,minnehaha
2024,18,4.5,minnehaha
2024,19,4.8,minnehaha
2024,20,5.0,minnehaha
2024,21,4.9,minnehaha
2024,22,4.5,minnehaha
2024,23,4.1,minnehaha
2024,0,1.4,minnehaha
2024,1,1.2,minnehaha
2024,2,1.0,minnehaha
2024,3,0.9,minnehaha
2024,4,0.9,minnehaha
2024,5,0.8,minnehaha
2024,6,0.7,minnehaha
2024,7,0.6,minnehaha
2024,8,0.5,minnehaha
2024,9,0.5,minnehaha
2024,10,0.5,minnehaha
2024,11,0.6,minnehaha
2024,12,0.7,minnehaha
2024,13,0.8,minnehaha
2024,14,0.8,minnehaha
2024,15,0.9,minnehaha
2024,16,1.2,minnehaha
2024,17,1.6,minnehaha
2024,18,1.8,minnehaha
2024,19,1.9,minnehaha
2024,20,2.0,minnehaha
2024,21,2.0,minnehaha
2024,22,1.8,minnehaha
2024,23,1.7,minnehaha
2024,0,1.4,thurston
2024,1,1.2,thurston
2024,2,1.0,thurston
2024,3,0.9,thurston
2024,4,0.8,thurston
2024,5,0.8,thurston
2024,6,0.7,thurston
2024,7,0.6,thurston
2024,8,0.5,thurston
2024,9,0.5,thurston
2024,10,0.5,thurston
2024,11,0.6,thurston
2024,12,0.7,thurston
2024,13,0.7,thurston
2024,14,0.8,thurston
2024,15,0.9,thurston
2024,16,1.1,thurston
2024,17,1.6,thurston
2024,18,1.8,thurston
2024,19,1.9,thurston
2024,20,2.0,thurston
2024,21,1.9,thurston
2024,22,1.8,thurston
2024,23,1.6,thurston
2024,0,2.2,beadle
2024,1,1.8,beadle
2024,2,1.6,beadle
2024,3,1.5,beadle
2024,4,1.2,beadle
2024,5,1.2,beadle
2024,6,1.0,beadle
2024,7,0.9,beadle
2024,8,0.7,beadle
2024,9,0.7,beadle
2024,10,0.8,beadle
2024,11,0.9,beadle
2024,12,1.0,beadle
2024,13,1.1,beadle
2024,14,1.2,beadle
2024,15,1.5,beadle
2024,16,1.8,beadle
2024,17,2.4,beadle
2024,18,2.8,beadle
2024,19,3.0,beadle
2024,20,3.1,beadle
2024,21,3.1,beadle
2024,22,2.8,beadle
2024,23,2.5,beadle
2024,0,5.6,sarpy
2024,1,4.9,sarpy
2024,2,4.2,sarpy
2024,3,3.8,sarpy
2024,4,3.4,sarpy
2024,5,3.1,sarpy
2024,6,2.8,sarpy
2024,7,2.3,sarpy
2024,8,1.9,sarpy
2024,9,1.9,sarpy
2024,10,2.0,sarpy
2024,11,2.4,sarpy
2024,12,2.7,sarpy
2024,13,3.1,sarpy
2024,14,3.4,sarpy
2024,15,4.0,sarpy
2024,16,4.9,sarpy
2024,17,6.4,sarpy
2024,18,7.5,sarpy
2024,19,8.1,sarpy
2024,20,8.4,sarpy
2024,21,8.2,sarpy
2024,22,7.5,sarpy
2024,23,6.6,sarpy
2024,0,1.5,lancaster
2024,1,1.2,lancaster
2024,2,1.1,lancaster
2024,3,1.0,lancaster
2024,4,0.9,lancaster
2024,5,0.8,lancaster
2024,6,0.8,lancaster
2024,7,0.6,lancaster
2024,8,0.5,lancaster
2024,9,0.5,lancaster
2024,10,0.6,lancaster
2024,11,0.6,lancaster
2024,12,0.7,lancaster
2024,13,0.8,lancaster
2024,14,0.8,lancaster
2024,15,1.0,lancaster
